id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-033,Deoxys,033,Uncommon,,2026-07-29T08:03:05.570Z,EUR,886425,0.03,0.02,0.03,0.04,0.03,0.03,0.1,0.02,0.11,0.11,0.11,0.1,2026-07-29T08:03:04.968Z,USD,693476.0,0.01,0.25,25.25,0.27,0.25,693476.0,0.01,0.15,6.99,0.04,0.01,,,,,,
me04-034,Deoxys,034,Uncommon,,2026-07-29T08:03:05.570Z,EUR,886426,0.03,0.02,0.03,0.03,0.03,0.03,0.09,0.02,0.1,0.1,0.11,0.1,2026-07-29T08:03:04.968Z,USD,693477.0,0.01,0.26,25.28,0.3,0.25,693477.0,0.01,0.15,6.99,0.07,0.01,,,,,,
me04-035,Mega Floette ex,035,Double rare,,2026-07-29T08:03:05.570Z,EUR,886427,0.5,0.05,0.5,0.35,0.51,0.5,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,,,,,,,,,,,,,693511.0,0.2,0.71,21.99,0.52,0.64
me04-036,Espurr,036,Common,,2026-07-29T08:03:05.570Z,EUR,886428,0.03,0.02,0.03,0.03,0.03,0.03,0.09,0.02,0.1,0.1,0.08,0.09,2026-07-29T08:03:04.968Z,USD,693483.0,0.01,0.24,25.22,0.21,0.2,693483.0,0.01,0.15,2.99,0.11,0.01,,,,,,
me04-037,Meowstic,037,Uncommon,,2026-07-29T08:03:05.570Z,EUR,886429,0.03,0.02,0.03,0.03,0.02,0.03,0.08,0.02,0.1,0.11,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693521.0,0.01,0.25,25.33,0.24,0.23,693521.0,0.01,0.15,6.99,0.05,0.01,,,,,,
me04-038,Phantump,038,Common,,2026-07-29T08:03:05.570Z,EUR,886430,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.09,0.17,0.09,0.09,2026-07-29T08:03:04.968Z,USD,693531.0,0.02,0.25,48.0,0.25,0.25,693531.0,0.01,0.15,25.0,0.08,0.01,,,,,,
me04-039,Trevenant,039,Rare,,2026-07-29T08:03:05.570Z,EUR,886431,0.04,0.02,0.05,0.03,0.05,0.04,0.09,0.02,0.08,0.09,0.08,0.09,2026-07-29T08:03:04.968Z,USD,693556.0,0.01,0.23,25.22,0.23,0.22,,,,,,,693556.0,0.01,0.2,75.2,0.21,0.08
me04-040,Pumpkaboo,040,Common,,2026-07-29T08:03:05.570Z,EUR,886432,0.03,0.02,0.03,0.04,0.03,0.03,0.09,0.02,0.09,0.05,0.09,0.09,2026-07-29T08:03:04.968Z,USD,693536.0,0.01,0.23,25.23,0.25,0.15,693536.0,0.01,0.15,6.99,0.08,0.01,,,,,,
me04-041,Gourgeist ex,041,Double rare,,2026-07-29T08:03:04.597Z,EUR,886433,0.35,0.02,0.37,0.33,0.37,0.34,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,,,,,,,,,,,,,693497.0,0.02,0.58,28.6,0.49,0.7
me04-042,Xerneas,042,Rare,,2026-07-29T08:03:04.597Z,EUR,886434,0.05,0.02,0.04,0.03,0.05,0.05,0.1,0.02,0.08,0.08,0.09,0.09,2026-07-29T08:03:04.968Z,USD,693563.0,0.01,0.25,25.25,0.26,0.25,,,,,,,693563.0,0.01,0.18,75.16,0.12,0.01
me04-043,Sudowoodo,043,Uncommon,,2026-07-29T08:03:04.597Z,EUR,886435,0.02,0.02,0.03,0.04,0.02,0.02,0.08,0.02,0.08,0.06,0.1,0.09,2026-07-29T08:03:04.968Z,USD,693550.0,0.01,0.25,25.24,0.24,0.18,693550.0,0.01,0.13,6.99,0.05,0.01,,,,,,
me04-044,Phanpy,044,Common,,2026-07-29T08:03:05.570Z,EUR,886436,0.03,0.02,0.03,0.03,0.03,0.03,0.08,0.02,0.08,0.07,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693530.0,0.01,0.23,25.25,0.23,0.2,693530.0,0.01,0.15,6.99,0.06,0.01,,,,,,
me04-045,Donphan,045,Common,,2026-07-29T08:03:05.570Z,EUR,886437,0.03,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.07,0.03,0.07,0.08,2026-07-29T08:03:04.968Z,USD,693478.0,0.02,0.22,25.21,0.22,0.2,693478.0,0.01,0.14,6.99,0.09,0.01,,,,,,
me04-046,Baltoy,046,Common,,2026-07-29T08:03:05.570Z,EUR,886438,0.02,0.02,0.02,0.02,0.03,0.02,0.08,0.02,0.07,0.05,0.07,0.08,2026-07-29T08:03:04.968Z,USD,693452.0,0.01,0.22,25.25,0.19,0.2,693452.0,0.01,0.13,6.99,0.05,0.01,,,,,,
me04-047,Claydol,047,Uncommon,,2026-07-29T08:03:05.570Z,EUR,886439,0.02,0.02,0.02,0.03,0.03,0.02,0.08,0.02,0.08,0.1,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693466.0,0.01,0.23,25.23,0.22,0.2,693466.0,0.01,0.14,6.99,0.07,0.01,,,,,,
me04-048,Mega Gallade ex,048,Double rare,,2026-07-29T08:03:05.570Z,EUR,886440,0.43,0.03,0.43,0.42,0.42,0.43,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,,,,,,,,,,,,,693514.0,0.1,0.7,10.99,0.63,0.87
me04-049,Zubat,049,Common,,2026-07-29T08:03:05.570Z,EUR,886441,0.02,0.02,0.02,0.03,0.02,0.02,0.09,0.02,0.09,0.09,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693565.0,0.01,0.22,25.18,0.18,0.2,693565.0,0.01,0.15,25.0,0.06,0.01,,,,,,
me04-050,Golbat,050,Common,,2026-07-29T08:03:05.570Z,EUR,886442,0.02,0.02,0.03,0.04,0.02,0.02,0.09,0.02,0.08,0.06,0.08,0.09,2026-07-29T08:03:04.968Z,USD,693493.0,0.01,0.23,25.26,0.22,0.15,693493.0,0.01,0.15,6.99,0.08,0.02,,,,,,
me04-051,Crobat,051,Rare,,2026-07-29T08:03:04.597Z,EUR,888531,1.55,0.2,1.58,1.35,1.76,1.58,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,693470.0,0.01,0.25,25.28,0.26,0.25,,,,,,,693470.0,0.01,0.18,75.12,0.15,0.05
me04-052,Qwilfish,052,Common,,2026-07-29T08:03:04.597Z,EUR,886444,0.03,0.02,0.02,0.03,0.02,0.02,0.08,0.02,0.09,0.14,0.09,0.09,2026-07-29T08:03:04.968Z,USD,693538.0,0.01,0.25,25.26,0.23,0.22,693538.0,0.01,0.15,6.99,0.07,0.01,,,,,,
me04-053,Stunky,053,Common,,2026-07-29T08:03:04.597Z,EUR,886445,0.03,0.02,0.02,0.04,0.03,0.03,0.08,0.02,0.1,0.2,0.1,0.09,2026-07-29T08:03:04.968Z,USD,693549.0,0.01,0.25,25.26,0.25,0.22,693549.0,0.01,0.15,6.99,0.06,0.01,,,,,,
me04-054,Skuntank,054,Uncommon,,2026-07-29T08:03:04.597Z,EUR,886446,0.02,0.02,0.03,0.04,0.02,0.02,0.08,0.02,0.08,0.14,0.07,0.08,2026-07-29T08:03:04.968Z,USD,693544.0,0.01,0.24,25.25,0.23,0.2,693544.0,0.01,0.12,6.99,0.04,0.01,,,,,,
me04-055,Krookodile ex,055,Double rare,,2026-07-29T08:03:04.597Z,EUR,886447,0.36,0.02,0.37,0.38,0.37,0.36,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,,,,,,,,,,,,,693504.0,0.1,0.6,25.0,0.45,0.68
me04-056,Trubbish,056,Common,,2026-07-29T08:03:04.597Z,EUR,886448,0.03,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.08,0.11,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693557.0,0.02,0.24,25.24,0.22,0.05,693557.0,0.01,0.15,6.99,0.08,0.01,,,,,,
me04-057,Garbodor,057,Uncommon,,2026-07-29T08:03:04.597Z,EUR,886449,0.02,0.02,0.02,0.03,0.02,0.02,0.08,0.02,0.07,0.12,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693492.0,0.01,0.24,25.26,0.2,0.24,693492.0,0.01,0.15,7.0,0.08,0.01,,,,,,
me04-058,Skrelp,058,Common,,2026-07-29T08:03:04.597Z,EUR,886450,0.03,0.02,0.03,0.02,0.02,0.03,0.08,0.02,0.08,0.07,0.07,0.08,2026-07-29T08:03:04.968Z,USD,693543.0,0.01,0.26,25.34,0.26,0.25,693543.0,0.01,0.15,6.99,0.08,0.01,,,,,,
me04-059,Beldum,059,Common,,2026-07-29T08:03:04.597Z,EUR,886451,0.04,0.02,0.04,0.03,0.04,0.04,0.08,0.02,0.08,0.05,0.08,0.09,2026-07-29T08:03:04.968Z,USD,693455.0,0.01,0.21,25.23,0.19,0.15,693455.0,0.01,0.15,1.6,0.08,0.05,,,,,,
me04-060,Metang,060,Common,,2026-07-29T08:03:05.570Z,EUR,886452,0.02,0.02,0.03,0.03,0.03,0.03,0.07,0.02,0.07,0.05,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693523.0,0.01,0.25,25.29,0.29,0.22,693523.0,0.01,0.15,6.99,0.06,0.01,,,,,,
me04-061,Metagross,061,Uncommon,,2026-07-29T08:03:05.570Z,EUR,886453,0.05,0.02,0.06,0.08,0.06,0.05,0.12,0.02,0.16,0.19,0.16,0.13,2026-07-29T08:03:04.968Z,USD,693522.0,0.01,0.3,25.39,0.33,0.95,693522.0,0.01,0.18,2.99,0.11,0.12,,,,,,
me04-062,Ferroseed,062,Common,,2026-07-29T08:03:04.597Z,EUR,886454,0.02,0.02,0.03,0.03,0.03,0.02,0.07,0.02,0.06,0.04,0.06,0.06,2026-07-29T08:03:04.968Z,USD,693485.0,0.01,0.22,25.23,0.22,0.14,693485.0,0.01,0.12,6.99,0.05,0.01,,,,,,
me04-063,Ferrothorn,063,Uncommon,,2026-07-29T08:03:04.597Z,EUR,886455,0.02,0.02,0.03,0.04,0.03,0.02,0.09,0.02,0.09,0.08,0.09,0.08,2026-07-29T08:03:04.968Z,USD,693486.0,0.01,0.21,25.19,0.2,0.15,693486.0,0.01,0.13,6.99,0.06,0.01,,,,,,
me04-064,Cobalion ex,064,Double rare,,2026-07-29T08:03:05.570Z,EUR,886456,0.35,0.02,0.29,0.31,0.31,0.34,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,,,,,,,,,,,,,693468.0,0.01,0.57,44.0,0.5,0.69
me04-065,Mega Dragalge ex,065,Double rare,,2026-07-29T08:03:04.597Z,EUR,886457,0.49,0.04,0.45,0.43,0.47,0.47,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,,,,,,,,,,,,,693508.0,0.08,0.73,46.51,0.48,0.74
me04-066,Goomy,066,Common,,2026-07-29T08:03:04.597Z,EUR,886458,0.02,0.02,0.02,0.03,0.02,0.02,0.07,0.02,0.06,0.04,0.06,0.07,2026-07-29T08:03:04.968Z,USD,693496.0,0.01,0.22,25.24,0.18,0.05,693496.0,0.01,0.15,6.99,0.07,0.01,,,,,,
me04-067,Sliggoo,067,Common,,2026-07-29T08:03:05.570Z,EUR,886459,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.02,0.08,0.08,0.08,0.08,2026-07-29T08:03:04.968Z,USD,693545.0,0.01,0.21,25.19,0.18,0.18,693545.0,0.01,0.15,6.99,0.05,0.01,,,,,,
me04-068,Goodra,068,Rare,,2026-07-29T08:03:05.570Z,EUR,888530,1.6,0.06,1.63,0.78,1.47,1.54,,,0.0,,,,2026-07-29T08:03:04.968Z,USD,693495.0,0.01,0.23,25.21,0.25,0.05,,,,,,,693495.0,0.01,0.2,75.19,0.15,0.07
me04-069,Tauros,069,Uncommon,,2026-07-29T08:03:05.570Z,EUR,886461,0.02,0.02,0.03,0.03,0.02,0.02,0.09,0.02,0.07,0.08,0.07,0.08,2026-07-29T08:03:04.968Z,USD,693552.0,0.01,0.22,25.21,0.17,0.17,693552.0,0.01,0.15,6.99,0.08,0.01,,,,,,
