id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
pop5-12,Pikachu,12,Common,,,POP Series 5,2026-07-19T08:03:01.701Z,USD,2026-07-19T08:03:04.658Z,EUR,277494.0,90.0,22.0,112.82,45.99,72.87,72.69,,950.0,194.06,315.0,120.43,68.91,88085.0,350.0,350.0,350.0,434.85,,88085.0,49.99,255.66,4321.0,64.63,456.32,,,,,,,,,,,,,,,,,,
pop4-13,Pikachu,13,Common,,,POP Series 4,2026-07-19T08:03:01.694Z,USD,2026-07-19T08:03:04.658Z,EUR,277478.0,45.99,8.0,52.28,125.0,44.99,34.79,,50.0,18.56,20.0,17.0,12.02,88083.0,369.63,1000.0,9999.0,62.16,,88083.0,42.0,49.37,300.0,32.3,,,,,,,,,,,,,,,,,,,
pop5-13,Pikachu δ,13,Common,,,POP Series 5,,,2026-07-19T08:03:04.658Z,EUR,277495.0,33.75,17.0,31.46,15.0,33.86,33.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tk-sm-r-14,Pikachu,14,None,,,SM trainer Kit (Alolan Raichu),2026-07-19T08:03:02.157Z,USD,,,,,,,,,,,,,,,,,,,,,,152868.0,0.45,0.88,19.98,0.88,,,,,,,,,,,,,,,,,,,
tk-xy-p-14,Pikachu Libre,14,None,,,XY trainer Kit (Pikachu Libre),2026-07-19T08:03:02.131Z,USD,,,,,,,,,,,,,,,,,,,,,,118819.0,10.76,27.54,84.7,21.27,,,,,,,,,,,,,,,,,,,
pop9-15,Pikachu,15,Common,,,POP Series 9,2026-07-19T08:03:01.950Z,USD,2026-07-19T08:03:04.558Z,EUR,278566.0,14.4,3.5,16.99,10.0,13.61,22.27,,,14.35,10.0,16.43,11.9,,,,,,,88092.0,13.24,19.62,4320.11,19.44,24.3,,,,,,,,,,,,,,,,,,
P-A-015,Pikachu,015,None,,,Promos-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pop2-16,Pikachu,16,Common,,,POP Series 2,2026-07-19T08:03:01.662Z,USD,2026-07-19T08:03:04.658Z,EUR,277447.0,18.44,7.5,23.1,17.0,19.7,24.94,,,8.61,8.5,7.83,7.83,,,,,,,88081.0,49.99,80.0,360.0,48.37,,,,,,,,,,,,,,,,,,,
mfb-17,Pikachu,17,None,,,My First Battle,,,2026-07-19T08:03:04.658Z,EUR,742000.0,12.24,3.2,12.05,11.99,12.41,7.14,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv04.5-018,Pikachu,018,Common,,,Paldean Fates,2026-07-19T08:03:02.291Z,USD,2026-07-19T08:03:04.558Z,EUR,751545.0,0.09,0.02,0.06,0.15,0.07,0.09,0.19,0.02,0.2,0.25,0.21,0.19,,,,,,,534163.0,0.02,0.25,20.0,0.2,0.13,534163.0,0.01,0.35,10.0,0.3,0.37,,,,,,,,,,,,
sm115-19,Pikachu,19,Common,,,Hidden Fates,2026-07-19T08:03:02.207Z,USD,2026-07-19T08:03:04.558Z,EUR,394592.0,0.79,0.07,0.68,0.87,1.05,0.81,5.71,3.75,6.33,4.0,5.82,5.38,,,,,,,197663.0,0.37,1.11,19.64,1.07,1.23,197663.0,4.99,8.99,96.72,8.99,7.03,,,,,,,,,,,,
xy6-20,Pikachu,20,Common,,,Roaring Skies,2026-07-19T08:03:02.110Z,USD,2026-07-19T08:03:04.558Z,EUR,282688.0,1.96,0.02,2.03,2.3,1.69,2.02,8.03,1.0,8.45,7.5,9.23,7.38,,,,,,,98056.0,0.25,1.12,18.52,1.51,,98056.0,3.06,7.0,99.5,6.41,,,,,,,,,,,,,
A2b-022,Pikachu ex,022,Four Diamond,,,Shining Revelry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basep-24,___________'s Pikachu,24,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basep-25,Flying Pikachu,25,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv03.5-025,Pikachu,025,Common,,,151,2026-07-19T08:03:02.285Z,USD,2026-07-19T08:03:04.658Z,EUR,733620.0,0.2,0.02,0.12,0.12,0.1,0.2,0.47,0.03,0.6,1.2,0.58,0.46,,,,,,,517033.0,0.01,0.25,19.98,0.22,,517033.0,0.2,0.75,19.34,0.64,0.69,,,,,,,,,,,,
2021swsh-25,Pikachu,25,None,,,McDonald's Collection 2021,,,2026-07-19T08:03:04.658Z,EUR,539018.0,1.84,0.02,2.55,2.2,2.47,1.77,,,25.1,28.39,26.7,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1a-025,Pikachu,025,One Diamond,,,Mythical Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2a-025,Pikachu,025,One Diamond,,,Triumphant Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basep-26,Pikachu,26,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-A-026,Pikachu,026,None,,,Promos-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1-26,Pikachu,26,Common,,,Generations,2026-07-19T08:03:02.129Z,USD,2026-07-19T08:03:04.658Z,EUR,288464.0,3.57,0.5,3.25,3.31,3.07,3.6,12.98,2.5,18.45,3.45,19.31,13.96,,,,,,,113684.0,2.25,3.56,96.95,3.61,2.92,113684.0,8.43,23.97,149.99,15.67,,,,,,,,,,,,,
basep-27,Pikachu,27,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svp-027,Pikachu,027,Promo,,,SVP Black Star Promos,,,2026-07-19T08:03:04.658Z,EUR,703195.0,27.67,12.0,27.51,26.33,28.67,28.01,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swsh10.5-027,Pikachu,027,Common,,,Pokémon GO,2026-07-19T08:03:02.259Z,USD,2026-07-19T08:03:04.658Z,EUR,665260.0,0.14,0.02,0.15,0.29,0.1,0.14,0.53,0.02,0.39,0.5,0.45,0.44,,,,,,,276946.0,0.08,0.35,25.0,0.31,0.25,276946.0,0.09,0.88,19.98,0.96,,,,,,,,,,,,,
xy3-27,Pikachu,27,Common,,,Furious Fists,2026-07-19T08:03:02.090Z,USD,2026-07-19T08:03:04.658Z,EUR,281691.0,4.89,0.15,5.2,7.99,5.5,4.22,9.29,1.5,12.51,14.0,13.53,12.69,,,,,,,92202.0,1.69,5.06,89.99,5.07,,92202.0,7.4,14.67,96.93,16.82,96.93,,,,,,,,,,,,
basep-28,Surfing Pikachu,28,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv08.5-028,Pikachu ex,028,Double rare,,,Prismatic Evolutions,2026-07-19T08:03:02.321Z,USD,2026-07-19T08:03:04.558Z,EUR,805417.0,2.75,0.6,2.68,2.72,2.66,2.61,,,0.0,,,,610383.0,1.25,2.69,4321.0,2.23,,,,,,,,,,,,,,,,,,,,,,,,,
swsh10.5-028,Pikachu,028,Holo Rare,,,Pokémon GO,2026-07-19T08:03:02.259Z,USD,2026-07-19T08:03:04.558Z,EUR,665261.0,0.66,0.02,0.87,1.18,0.58,0.68,1.47,0.2,1.7,0.8,1.59,1.38,274461.0,0.69,1.87,96.85,1.84,,,,,,,,274461.0,1.0,2.69,19.16,2.63,,,,,,,,,,,,,
sm3.5-28,Pikachu,28,Common,,,Shining Legends,2026-07-19T08:03:02.167Z,USD,2026-07-19T08:03:04.558Z,EUR,302166.0,2.52,0.15,2.23,1.55,2.53,2.75,6.9,1.0,6.01,11.55,8.08,5.92,,,,,,,146682.0,0.7,1.86,5.99,1.89,,146682.0,7.47,15.0,4321.0,12.08,,,,,,,,,,,,,
tk-sm-r-29,Pikachu,29,None,,,SM trainer Kit (Alolan Raichu),2026-07-19T08:03:02.157Z,USD,,,,,,,,,,,,,,,,,,,,,,152869.0,0.35,1.31,19.98,1.3,,,,,,,,,,,,,,,,,,,
sm4-30,Pikachu,30,Common,,,Crimson Invasion,2026-07-19T08:03:02.169Z,USD,2026-07-19T08:03:04.558Z,EUR,311880.0,1.59,0.05,1.35,0.7,1.43,1.49,6.18,3.0,5.79,4.54,6.88,6.71,,,,,,,149053.0,1.0,3.0,4321.0,3.15,3.46,149053.0,8.0,15.5,149.99,14.68,14.5,,,,,,,,,,,,
tk-xy-p-30,Pikachu Libre,30,None,,,XY trainer Kit (Pikachu Libre),2026-07-19T08:03:02.131Z,USD,,,,,,,,,,,,,,,,118820.0,27.01,61.4,599.9,52.84,,,,,,,,,,,,,,,,,,,,,,,,,
sm9-33,Pikachu & Zekrom GX,33,Ultra Rare,,,Team Up,2026-07-19T08:03:02.194Z,USD,2026-07-19T08:03:04.558Z,EUR,366888.0,153.05,15.0,89.07,110.0,126.82,104.4,,,6.15,4.83,6.13,6.44,183804.0,56.0,79.99,999.99,66.0,58.13,,,,,,,,,,,,,,,,,,,,,,,,
np-35,Pikachu δ,35,Common,,,Nintendo Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xy12-35,Pikachu,35,Common,,,Evolutions,2026-07-19T08:03:02.145Z,USD,2026-07-19T08:03:04.558Z,EUR,293392.0,1.01,0.02,1.33,1.27,1.96,1.31,6.86,0.9,5.81,12.0,6.95,6.96,,,,,,,124048.0,0.16,0.81,19.95,0.93,1.99,124048.0,2.0,6.6,4321.0,6.4,3.51,,,,,,,,,,,,
bw4-39,Pikachu,39,Common,,,Next Destinies,2026-07-19T08:03:02.028Z,USD,2026-07-19T08:03:04.558Z,EUR,280264.0,2.92,0.05,2.63,1.22,2.99,3.19,25.98,3.99,15.37,34.99,16.86,16.14,,,,,,,88102.0,2.0,5.0,9.99,4.93,,88102.0,26.99,28.9,299.9,24.35,,,,,,,,,,,,,
sm3-40,Pikachu,40,Common,,,Burning Shadows,2026-07-19T08:03:02.164Z,USD,2026-07-19T08:03:04.658Z,EUR,299444.0,1.05,0.02,0.84,1.03,0.8,1.04,5.33,0.5,3.16,1.5,2.73,4.68,,,,,,,138522.0,0.3,1.0,19.46,1.01,,138522.0,0.35,5.77,4321.0,5.76,7.2,,,,,,,,,,,,
xy1-42,Pikachu,42,Common,,,XY,2026-07-19T08:03:02.077Z,USD,2026-07-19T08:03:04.558Z,EUR,281379.0,6.91,0.09,6.74,9.5,11.99,6.47,16.3,6.49,14.32,18.0,14.35,11.79,,,,,,,88106.0,0.75,2.97,29.99,2.86,3.98,88106.0,8.75,19.98,100.0,12.8,,,,,,,,,,,,,
swsh4-43,Pikachu V,43,Holo Rare V,,,Vivid Voltage,2026-07-19T08:03:02.232Z,USD,2026-07-19T08:03:04.558Z,EUR,511635.0,2.4,0.99,2.89,6.99,2.48,2.41,,,3.27,2.82,3.33,3.49,226430.0,0.85,2.77,50.0,2.37,,,,,,,,,,,,,,,,,,,,,,,,,
ex4-43,Pikachu,43,Common,,,Team Magma vs Team Aqua,2026-07-19T08:03:01.632Z,USD,2026-07-19T08:03:04.558Z,EUR,276020.0,6.82,1.0,9.18,3.95,6.75,6.81,,25.0,76.03,17.0,85.75,45.9,,,,,,,88077.0,15.01,24.55,991.74,21.35,,88077.0,149.99,250.0,298.99,73.6,,,,,,,,,,,,,
swsh4-44,Pikachu VMAX,44,Holo Rare VMAX,,,Vivid Voltage,2026-07-19T08:03:02.232Z,USD,2026-07-19T08:03:04.558Z,EUR,511640.0,12.32,4.0,12.08,8.0,9.66,13.29,,,25.71,24.49,26.2,26.19,226432.0,9.99,13.8,500.0,12.67,16.24,,,,,,,,,,,,,,,,,,,,,,,,
xy8-48,Pikachu,48,Common,,,BREAKthrough,2026-07-19T08:03:02.119Z,USD,2026-07-19T08:03:04.558Z,EUR,286294.0,1.83,0.05,1.75,1.85,1.84,1.96,9.9,7.49,10.77,11.0,12.28,9.38,,,,,,,107167.0,0.49,1.0,19.6,1.11,,107167.0,10.3,14.98,139.99,11.75,,,,,,,,,,,,,
swsh7-49,Pikachu,49,Common,,,Evolving Skies,2026-07-19T08:03:02.244Z,USD,2026-07-19T08:03:04.558Z,EUR,574073.0,0.52,0.02,1.12,0.3,3.53,0.55,0.61,0.03,0.63,0.35,0.41,0.52,,,,,,,246881.0,0.05,0.33,19.84,0.28,,246881.0,0.13,0.98,19.46,0.98,,,,,,,,,,,,,
swsh12-049,Pikachu,049,Common,,,Silver Tempest,2026-07-19T08:03:02.267Z,USD,2026-07-19T08:03:04.558Z,EUR,682096.0,0.11,0.02,0.14,0.03,0.06,0.08,0.66,0.09,0.48,0.59,0.73,0.69,,,,,,,451703.0,0.05,0.44,20.0,0.4,0.5,451703.0,0.49,1.4,19.94,1.39,,,,,,,,,,,,,
B2-049,Pikachu,049,One Diamond,,,Fantastical Parade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bw7-50,Pikachu,50,Common,,,Boundaries Crossed,2026-07-19T08:03:02.046Z,USD,2026-07-19T08:03:04.558Z,EUR,280637.0,4.72,0.02,3.32,8.48,3.56,4.2,31.98,4.5,22.08,10.0,27.1,19.47,,,,,,,88103.0,1.5,2.96,89.68,2.97,89.68,88103.0,28.0,44.99,812.9,31.68,,,,,,,,,,,,,
sv05-051,Pikachu,051,Common,,,Temporal Forces,2026-07-19T08:03:02.294Z,USD,2026-07-19T08:03:04.558Z,EUR,760681.0,0.1,0.02,0.03,0.03,0.05,0.1,0.33,0.02,0.17,0.15,0.25,0.32,,,,,,,542795.0,0.02,0.3,25.0,0.3,0.25,542795.0,0.05,0.64,19.98,0.62,0.62,,,,,,,,,,,,
