id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_productId,tp_reverse_lowPrice,tp_reverse_midPrice,tp_reverse_highPrice,tp_reverse_marketPrice,tp_reverse_directLowPrice
swsh3-80,Shiinotic,80,Uncommon,,2026-07-06T18:05:01.132Z,EUR,483279,0.06,0.02,0.07,0.05,0.06,0.05,0.32,0.02,0.3,0.2,0.29,0.29,2026-07-06T18:05:00.769Z,USD,219465.0,0.01,0.18,25.04,0.04,,219465.0,0.1,0.31,19.98,0.31,
swsh3-81,Mimikyu,81,Rare,,2026-07-06T18:05:01.132Z,EUR,483284,0.38,0.05,0.22,0.26,0.13,0.2,1.93,0.1,2.35,0.5,1.52,1.47,2026-07-06T18:05:00.769Z,USD,219467.0,0.1,0.4,19.98,0.32,,219467.0,0.31,1.24,19.98,1.23,
swsh3-82,Sinistea,82,Common,,2026-07-06T18:05:01.132Z,EUR,483289,0.07,0.02,0.08,0.04,0.06,0.07,0.31,0.02,0.3,0.1,0.31,0.28,2026-07-06T18:05:00.769Z,USD,219468.0,0.01,0.16,17.28,0.06,0.1,219468.0,0.09,0.3,19.98,0.31,0.15
swsh3-83,Polteageist,83,Uncommon,,2026-07-06T18:05:01.145Z,EUR,483294,0.15,0.02,0.15,0.25,0.11,0.13,0.42,0.03,0.3,0.19,0.36,0.37,2026-07-06T18:05:00.769Z,USD,219470.0,0.02,0.2,19.98,0.07,0.06,219470.0,0.1,0.27,19.98,0.23,
swsh3-84,Diglett,84,Common,,2026-07-06T18:05:01.132Z,EUR,483299,0.06,0.02,0.07,0.03,0.06,0.04,0.24,0.02,0.15,0.1,0.2,0.27,2026-07-06T18:05:00.769Z,USD,219471.0,0.01,0.2,25.1,0.07,0.06,219471.0,0.1,0.37,19.98,0.38,
swsh3-85,Dugtrio,85,Uncommon,,2026-07-06T18:05:01.132Z,EUR,483304,0.07,0.02,0.05,0.11,0.06,0.08,0.29,0.02,0.19,0.1,0.2,0.3,2026-07-06T18:05:00.769Z,USD,219473.0,0.03,0.19,25.1,0.09,0.1,219473.0,0.1,0.31,2.0,0.32,0.19
swsh3-86,Larvitar,86,Common,,2026-07-06T18:05:01.132Z,EUR,483309,0.07,0.02,0.07,0.1,0.05,0.06,0.27,0.05,0.27,0.22,0.28,0.23,2026-07-06T18:05:00.769Z,USD,219474.0,0.01,0.15,25.05,0.06,0.06,219474.0,0.08,0.31,19.98,0.32,
swsh3-87,Pupitar,87,Uncommon,,2026-07-06T18:05:01.145Z,EUR,483314,0.08,0.02,0.05,0.02,0.04,0.05,0.26,0.04,0.23,0.25,0.2,0.25,2026-07-06T18:05:00.769Z,USD,219476.0,0.01,0.17,25.08,0.08,0.06,219476.0,0.06,0.25,2.37,0.24,0.12
swsh3-88,Tyranitar,88,Holo Rare,,2026-07-06T18:05:01.145Z,EUR,483319,0.88,0.07,0.67,0.48,0.76,0.78,1.21,0.1,1.33,1.49,1.28,1.29,2026-07-06T18:05:00.769Z,USD,,,,,,,219477.0,0.25,0.79,1.98,0.78,1.02
swsh3-89,Trapinch,89,Common,,2026-07-06T18:05:01.145Z,EUR,483324,0.1,0.02,0.11,0.28,0.1,0.1,0.32,0.02,0.23,0.35,0.36,0.36,2026-07-06T18:05:00.769Z,USD,219479.0,0.09,0.28,25.28,0.25,,219479.0,0.1,0.54,19.98,0.53,
