id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-039,Trevenant,039,Rare,,2026-07-07T18:05:09.149Z,EUR,886431,0.06,0.02,0.03,0.04,0.04,0.05,0.12,0.02,0.07,0.11,0.08,0.1,2026-07-07T18:05:06.951Z,USD,693556.0,0.01,0.22,2.81,0.21,0.05,,,,,,,693556.0,0.01,0.18,2.99,0.16,0.05
me04-040,Pumpkaboo,040,Common,,2026-07-07T18:05:10.032Z,EUR,886432,0.04,0.02,0.02,0.02,0.02,0.03,0.09,0.02,0.08,0.07,0.08,0.09,2026-07-07T18:05:06.951Z,USD,693536.0,0.01,0.23,2.99,0.2,0.06,693536.0,0.01,0.18,1.7,0.17,0.01,,,,,,
me04-041,Gourgeist ex,041,Double rare,,2026-07-07T18:05:10.032Z,EUR,886433,0.41,0.02,0.32,0.25,0.34,0.38,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,,,,,,,,,,,,,693497.0,0.02,0.6,4321.0,0.57,1.24
me04-042,Xerneas,042,Rare,,2026-07-07T18:05:09.041Z,EUR,886434,0.05,0.02,0.05,0.05,0.05,0.05,0.09,0.02,0.1,0.11,0.09,0.1,2026-07-07T18:05:06.951Z,USD,693563.0,0.01,0.25,1.86,0.25,0.08,,,,,,,693563.0,0.01,0.18,5.0,0.13,0.05
me04-043,Sudowoodo,043,Uncommon,,2026-07-07T18:05:09.041Z,EUR,886435,0.03,0.02,0.02,0.03,0.03,0.02,0.08,0.02,0.1,0.08,0.09,0.08,2026-07-07T18:05:06.951Z,USD,693550.0,0.01,0.23,2.99,0.2,0.06,693550.0,0.01,0.14,1.61,0.08,0.01,,,,,,
me04-044,Phanpy,044,Common,,2026-07-07T18:05:09.149Z,EUR,886436,0.03,0.02,0.03,0.06,0.03,0.02,0.09,0.02,0.09,0.07,0.08,0.09,2026-07-07T18:05:06.951Z,USD,693530.0,0.01,0.22,2.99,0.22,0.07,693530.0,0.01,0.15,1.6,0.11,0.01,,,,,,
me04-045,Donphan,045,Common,,2026-07-07T18:05:10.032Z,EUR,886437,0.03,0.02,0.03,0.07,0.03,0.03,0.09,0.02,0.09,0.12,0.09,0.08,2026-07-07T18:05:06.951Z,USD,693478.0,0.02,0.23,1.81,0.24,0.08,693478.0,0.01,0.14,2.99,0.09,0.01,,,,,,
me04-046,Baltoy,046,Common,,2026-07-07T18:05:10.032Z,EUR,886438,0.03,0.02,0.03,0.02,0.03,0.03,0.09,0.02,0.09,0.11,0.09,0.08,2026-07-07T18:05:06.951Z,USD,693452.0,0.01,0.21,2.99,0.23,0.18,693452.0,0.01,0.14,1.6,0.11,0.01,,,,,,
me04-047,Claydol,047,Uncommon,,2026-07-07T18:05:09.149Z,EUR,886439,0.03,0.02,0.02,0.02,0.02,0.03,0.08,0.02,0.07,0.06,0.07,0.08,2026-07-07T18:05:06.951Z,USD,693466.0,0.01,0.21,2.99,0.19,0.06,693466.0,0.01,0.14,1.61,0.1,0.01,,,,,,
me04-048,Mega Gallade ex,048,Double rare,,2026-07-07T18:05:09.041Z,EUR,886440,0.45,0.04,0.41,0.41,0.43,0.45,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,,,,,,,,,,,,,693514.0,0.1,0.69,4321.0,0.5,0.58
