id,name,localId,rarity,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice
me05-057,Maschiff,57,Common,2026-07-18T08:02:59.776Z,EUR,895842,0.09,0.02,0.02,0.09,0.09,0.09,0.2,0.03,0.24,0.2,0.2,0.2,2026-07-18T08:02:56.983Z,USD,704814.0,0.01,0.16,4.0,0.06,704814.0,0.05,0.2,4.0,0.14,,,,,
me05-057,Maschiff,57,Common,2026-07-19T08:03:04.658Z,EUR,895842,0.09,0.02,0.03,0.09,0.09,0.09,0.2,0.03,0.19,0.2,0.2,0.2,2026-07-19T08:03:02.366Z,USD,704814.0,0.01,0.15,4.0,0.03,704814.0,0.05,0.2,4.0,0.1,,,,,
me05-057,Maschiff,57,Common,2026-07-20T08:03:04.265Z,EUR,895842,0.09,0.02,0.02,0.02,0.04,0.04,0.2,0.03,0.16,0.12,0.13,0.13,2026-07-20T08:03:02.229Z,USD,704814.0,0.01,0.15,4.0,0.03,704814.0,0.05,0.2,4.0,0.12,,,,,
me05-058,Mabosstiff,58,Common,2026-07-18T08:02:59.546Z,EUR,895843,0.02,0.02,0.06,0.05,0.04,0.04,0.05,0.05,0.35,0.05,0.05,0.05,2026-07-18T08:02:56.983Z,USD,704815.0,0.02,0.16,2.04,0.07,704815.0,0.04,0.21,4.0,0.15,,,,,
me05-058,Mabosstiff,58,Common,2026-07-19T08:03:04.558Z,EUR,895843,0.02,0.02,0.05,0.05,0.04,0.04,0.05,0.02,0.29,0.05,0.05,0.05,2026-07-19T08:03:02.366Z,USD,704815.0,0.01,0.15,1.65,0.04,704815.0,0.03,0.2,100.0,0.12,,,,,
me05-058,Mabosstiff,58,Common,2026-07-20T08:03:04.265Z,EUR,895843,0.02,0.02,0.04,0.02,0.03,0.03,0.05,0.02,0.25,0.12,0.14,0.14,2026-07-20T08:03:02.229Z,USD,704815.0,0.01,0.15,1.65,0.03,704815.0,0.02,0.2,4.0,0.1,,,,,
me05-059,Chi-Yu,59,Rare,2026-07-18T08:02:59.546Z,EUR,895844,0.02,0.02,0.27,0.02,0.03,0.03,,0.05,0.25,0.2,0.2,0.2,2026-07-18T08:02:56.983Z,USD,,,,,,704816.0,0.04,0.31,4.0,0.2,704816.0,0.05,0.23,2.99,0.16
me05-059,Chi-Yu,59,Rare,2026-07-19T08:03:04.658Z,EUR,895844,0.02,0.02,0.24,0.02,0.03,0.03,,0.02,0.25,0.2,0.2,0.2,2026-07-19T08:03:02.366Z,USD,,,,,,704816.0,0.02,0.25,4.0,0.21,704816.0,0.04,0.2,2.99,0.12
me05-059,Chi-Yu,59,Rare,2026-07-20T08:03:04.811Z,EUR,895844,0.02,0.02,0.22,0.12,0.13,0.13,,0.02,0.21,0.14,0.19,0.19,2026-07-20T08:03:02.229Z,USD,,,,,,704816.0,0.02,0.25,4.0,0.17,704816.0,0.03,0.2,2.0,0.13
me05-060,Skarmory,60,Common,2026-07-18T08:02:59.387Z,EUR,895845,0.02,0.02,0.04,0.03,0.03,0.03,,0.02,0.1,,,,2026-07-18T08:02:56.983Z,USD,704817.0,0.01,0.24,2.09,0.18,704817.0,0.02,0.2,2.0,0.1,,,,,
me05-060,Skarmory,60,Common,2026-07-19T08:03:04.658Z,EUR,895845,0.02,0.02,0.04,0.03,0.03,0.03,,0.02,0.08,,,,2026-07-19T08:03:02.366Z,USD,704817.0,0.01,0.19,100.0,0.09,704817.0,0.02,0.2,2.0,0.08,,,,,
me05-060,Skarmory,60,Common,2026-07-20T08:03:04.811Z,EUR,895845,0.02,0.02,0.03,0.02,0.03,0.03,,0.02,0.07,0.09,0.11,0.11,2026-07-20T08:03:02.229Z,USD,704817.0,0.01,0.16,1.65,0.12,704817.0,0.02,0.2,2.0,0.1,,,,,
me05-061,Shieldon,61,Common,2026-07-18T08:02:59.361Z,EUR,895846,0.07,0.02,0.12,0.2,0.17,0.17,,0.07,0.18,0.2,0.2,0.2,2026-07-18T08:02:56.983Z,USD,704818.0,0.01,0.2,35.0,0.09,704818.0,0.05,0.22,1.72,0.14,,,,,
me05-061,Shieldon,61,Common,2026-07-19T08:03:04.658Z,EUR,895846,0.07,0.02,0.1,0.2,0.17,0.17,,0.02,0.18,0.2,0.2,0.2,2026-07-19T08:03:02.366Z,USD,704818.0,0.01,0.15,100.0,0.08,704818.0,0.05,0.2,1.69,0.12,,,,,
